スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
マイナーレーベル	minor|label	M_AY1_N_ER0|L_EY1_B_AH0_L
ウエルダン	well|done	W_EH1_L|D_AH1_N
カリヨン	carillon	K_EH1_R_AH0_L_AA2_N
スクリプトコマンド	script|command	S_K_R_IH1_P_T|K_AH0_M_AE1_N_D
キャッシュベルト	cash|belt	K_AE1_SH|B_EH1_L_T
トランスパーティ	trance|party	T_R_AE1_N_S|P_AA1_R_T_IY0
ヌードモデル	nude|model	N_UW1_D|M_AA1_D_AH0_L
エックスウィンドウ	x|window	EH1_K_S|W_IH1_N_D_OW0
オーディナリー	ordinary	AO1_R_D_AH0_N_EH2_R_IY0
ピケ	pique	P_IY1_K
カイマン	cayman	K_EY1_M_AH0_N
セントラルサイト	central|site	S_EH1_N_T_R_AH0_L|S_AY1_T
ネクロマンサー	necromancer	N_EH1_K_R_AH0_M_AE2_N_S_ER0
スナッフ	snuff	S_N_AH1_F
サイコセラピー	psychotherapy	S_AY2_K_OW0_TH_EH1_R_AH0_P_IY0
マリワナ	marijuana	M_EH2_R_AH0_W_AA1_N_AH0
ドライフルーツ	dried|fruits	D_R_AY1_D|F_R_UW1_T_S
リーガルシステム	legal|system	L_IY1_G_AH0_L|S_IH1_S_T_AH0_M
シェイク	sheikh	SH_IY1_K
アダルトビデオ	adult|video	AH0_D_AH1_L_T|V_IH1_D_IY0_OW0
インバランス	imbalance	IH0_M_B_AE1_L_AH0_N_S
サブマリン	submarine	S_AH1_B_M_ER0_IY2_N
リーサス	rhesus	R_IY1_S_AH0_S
ログブック	log|book	L_AO1_G|B_UH1_K
クロン	clone	K_L_OW1_N
ガレオン	galleon	G_AE1_L_IY0_AH0_N
フェズ	fez	F_EH1_Z
ウェアラブル	wearable	W_EH1_R_AH0_B_AH0_L
モジュラプログラミング	modular|programming	M_AO1_JH_AH0_L_ER0|P_R_OW1_G_R_AE2_M_IH0_NG
フード	food	F_UW1_D
トライアド	triad	T_R_AY1_AE2_D
タート	tart	T_AA1_R_T
コメントアウト	comment|out	K_AA1_M_EH0_N_T|AW1_T
ウェブアーカイブ	web|archive	W_EH1_B|AA1_R_K_AY2_V
マーラ	mara	M_AA1_R_AH0
コンセプチュアルアート	conceptual|art	K_AH0_N_S_EH1_P_CH_UW0_AH0_L|AA1_R_T
イマジン	imagine	IH2_M_AE1_JH_AH0_N
シングルクリック	single|click	S_IH1_NG_G_AH0_L|K_L_IH1_K
グローバルメモリプール	global|memory|pool	G_L_OW1_B_AH0_L|M_EH1_M_ER0_IY0|P_UW1_L
スターリングエンジン	sterling|engine	S_T_ER1_L_IH0_NG|EH1_N_JH_AH0_N
クオート	quart	K_W_AO1_R_T
アローアンス	allowance	AH0_L_AW1_AH0_N_S
アカデミックハラスメント	academic|harassment	AE2_K_AH0_D_EH1_M_IH0_K|HH_ER0_AE1_S_M_AH0_N_T
ドリーミング	dreaming	D_R_IY1_M_IH0_NG
コンサルティングファーム	consulting|firm	K_AH0_N_S_AH1_L_T_IH0_NG|F_ER1_M
シースルー	see|through	S_IY1|TH_R_UW1
フラウンス	flounce	F_L_AW1_N_S
ピースサイン	peace|sign	P_IY1_S|S_AY1_N
ハイパーマーケット	hypermarket	HH_AY1_P_ER0_M_AA2_R_K_IH0_T
オヴェイション	ovation	OW0_V_EY1_SH_AH0_N
ブラトップ	bra|top	B_R_AA1|T_AA1_P
ローカルプリンタ	local|printer	L_OW1_K_AH0_L|P_R_IH1_N_T_ER0
シングルシフト	single|shift	S_IH1_NG_G_AH0_L|SH_IH1_F_T
ホモ	homo	HH_OW1_M_OW0
ボリュームマネージャ	volume|manager	V_AA1_L_Y_UW0_M|M_AE1_N_AH0_JH_ER0
ベースダウン	base|down	B_EY1_S|D_AW1_N
サブスティチュート	substitute	S_AH1_B_S_T_AH0_T_UW2_T
ジャッジフラッグ	judge|flag	JH_AH1_JH|F_L_AE1_G
フレンチポテト	french|potato	F_R_EH1_N_CH|P_AH0_T_EY1_T_OW2
スリーパーエフェクト	sleeper|effect	S_L_IY1_P_ER0|IH0_F_EH1_K_T
ウイスカー	whisker	W_IH1_S_K_ER0
オゾンホール	ozone|hole	OW1_Z_OW2_N|HH_OW1_L
クリーンヒット	clean|hit	K_L_IY1_N|HH_IH1_T
フライホイール	flywheel	F_L_AY1_W_IY2_L
シェルター	shelter	SH_EH1_L_T_ER0
シヤーピン	shear|pin	SH_IH1_R|P_IH1_N
イデア	idea	AY0_D_IY1_AH0
ウイスパー	whisper	W_IH1_S_P_ER0
ロッジア	loggia	L_AA1_G_IY0_AH0
ジャンボジェット	jumbo|jet	JH_AH1_M_B_OW0|JH_EH1_T
スプール	spool	S_P_UW1_L
ポジティブリスト	positive|list	P_AA1_Z_AH0_T_IH0_V|L_IH1_S_T
ダウンサイズ	downsize	D_AW1_N_S_AY2_Z
アーチー	archie	AA1_R_CH_IY0
ヒステリック	hysteric	HH_IH0_S_T_EH1_R_IH0_K
ミラーリング	mirroring	M_IH1_R_ER0_IH0_NG
テキサス	texas	T_EH1_K_S_AH0_S
ディセンバー	december	D_IH0_S_EH1_M_B_ER0
ワープ	warp	W_AO1_R_P
エレクトロニックカフェ	electronic|cafe	IH2_L_EH2_K_T_R_AA1_N_IH0_K|K_AH0_F_EY1
エロチックビデオ	erotic|video	IH0_R_AA1_T_IH0_K|V_IH1_D_IY0_OW0
ユーティリティープレーヤー	utility|player	Y_UW0_T_IH1_L_AH0_T_IY0|P_L_EY1_ER0
システムエリア	system|area	S_IH1_S_T_AH0_M|EH1_R_IY0_AH0
パタニティ	paternity	P_AH0_T_ER1_N_IH0_T_IY0
グルーピング	grouping	G_R_UW1_P_IH0_NG
ディファレンシエーション	differentiation	D_IH0_F_ER0_EH2_N_SH_IY0_EY1_SH_AH0_N
ディスクキャッシュ	disk|cache	D_IH1_S_K|K_AE1_SH
シートカバー	seat|cover	S_IY1_T|K_AH1_V_ER0
ガイドメロディ	guide|melody	G_AY1_D|M_EH1_L_AH0_D_IY0
ラジオコントロール	radio|control	R_EY1_D_IY0_OW2|K_AH0_N_T_R_OW1_L
アームチェアー	armchair	AA1_R_M_CH_EH2_R
フリスビー	frisbee	F_R_IH1_S_B_IY0
クルーナー	crooner	K_R_UW1_N_ER0
ロボットカー	robot|car	R_OW1_B_AA2_T|K_AA1_R
スイベル	swivel	S_W_IH1_V_AH0_L
コーラ	cola	K_OW1_L_AH0
フリースロー	free|throw	F_R_IY1|TH_R_OW1
オーソドックス	orthodox	AO1_R_TH_AH0_D_AA2_K_S
モデルチェンジ	model|change	M_AA1_D_AH0_L|CH_EY1_N_JH
ルビーガラス	ruby|glass	R_UW1_B_IY0|G_L_AE1_S
トランキライザー	tranquilizer	T_R_AE1_NG_K_W_AH0_L_AY2_Z_ER0
フローターサーブ	floater|serve	F_L_OW1_T_ER0|S_ER1_V
デッドオンアライバル	dead|on|arrival	D_EH1_D|AA1_N|ER0_AY1_V_AH0_L
バハマ	bahama	B_AH0_HH_AA1_M_AH0
タグライン	tag|line	T_AE1_G|L_AY1_N
ポーター	porter	P_AO1_R_T_ER0
ウィークエンドハウス	weekend|house	W_IY1_K_EH2_N_D|HH_AW1_S
ゼネラルマネージャー	general|manager	JH_EH1_N_ER0_AH0_L|M_AE1_N_AH0_JH_ER0
キャンサー	cancer	K_AE1_N_S_ER0
リザーブファンド	reserve|fund	R_IH0_Z_ER1_V|F_AH1_N_D
エコーグラフィー	echography	EH0_K_AA1_G_R_AH0_F_IY0
レコード	record	R_AH0_K_AO1_R_D
マスソサエティー	mass|society	M_AE1_S|S_OW0_S_AY1_IH0_T_IY0
ホストバスアダプタ	host|bus|adapter	HH_OW1_S_T|B_AH1_S|AH0_D_AE1_P_T_ER0
クールダウン	cool|down	K_UW1_L|D_AW1_N
エマルション	emulsion	IH0_M_AH1_L_SH_AH0_N
リーム	ream	R_IY1_M
コネクションプロビジョニング	connection|provisioning	K_AH0_N_EH1_K_SH_AH0_N|P_R_AH0_V_IH1_ZH_AH0_N_IH0_NG
リフレッシュレート	refresh|rate	R_IH0_F_R_EH1_SH|R_EY1_T
ビットプレーン	bit|plane	B_IH1_T|P_L_EY1_N
バイタリティ	vitality	V_AY0_T_AE1_L_AH0_T_IY0
ポールポジション	pole|position	P_OW1_L|P_AH0_Z_IH1_SH_AH0_N
パワー	power	P_AW1_ER0
ウェブサーバ	web|server	W_EH1_B|S_ER1_V_ER0
マーケットメカニズム	market|mechanism	M_AA1_R_K_AH0_T|M_EH1_K_AH0_N_IH2_Z_AH0_M
モールディング	molding	M_OW1_L_D_IH0_NG
ディミニッシングリターンズ	diminishing|returns	D_IH0_M_IH1_N_IH0_SH_IH0_NG|R_IH0_T_ER1_N_Z
ラバータイル	rubber|tile	R_AH1_B_ER0|T_AY1_L
フレンドシップ	friendship	F_R_EH1_N_D_SH_IH0_P
チャートファイル	chart|file	CH_AA1_R_T|F_AY1_L
キャラクタービジネス	character|business	K_EH1_R_IH0_K_T_ER0|B_IH1_Z_N_AH0_S
リモートログイン	remote|login	R_IH0_M_OW1_T|L_AO1_G_IH2_N
デバグ	debug	D_IY0_B_AH1_G
タイムアウト	time-out	T_AY1_M_AW2_T
リンクス	links	L_IH1_NG_K_S
フルーツサンドイッチ	fruits|sandwich	F_R_UW1_T_S|S_AE1_N_D_W_IH0_CH
コックピット	cockpit	K_AA1_K_P_IH2_T
ポケットティッシュ	pocket|tissue	P_AA1_K_AH0_T|T_IH1_S_Y_UW2
アセット	asset	AE1_S_EH2_T
クロスセクション	cross|section	K_R_AO1_S|S_EH1_K_SH_AH0_N
ポリオレフィン	polyolefin	P_AA2_L_IY2_OW1_L_AH0_F_IH0_N
インターネットオブシングス	internet|of|things	IH1_N_T_ER0_N_EH2_T|AH1_V|TH_IH1_NG_Z
トラクションコントロール	traction|control	T_R_AE1_K_SH_AH0_N|K_AH0_N_T_R_OW1_L
ナックルフォア	knuckle|four	N_AH1_K_AH0_L|F_AO1_R
マイクロフロッピー	micro|floppy	M_AY1_K_R_OW2|F_L_AA1_P_IY0
クッキングスクール	cooking|school	K_UH1_K_IH0_NG|S_K_UW1_L
スチューデントパワー	student|power	S_T_UW1_D_AH0_N_T|P_AW1_ER0
オフィスアメニティ	office|amenity	AO1_F_AH0_S|AH0_M_EH1_N_AH0_T_IY0
デジタルレコーディング	digital|recording	D_IH1_JH_AH0_T_AH0_L|R_AH0_K_AO1_R_D_IH0_NG
イリガリティー	illegality	IH2_L_IY0_G_AE1_L_IH0_T_IY0
トレジャラー	treasurer	T_R_EH1_ZH_ER0_ER0
カージャック	car|jack	K_AA1_R|JH_AE2_K
タブコード	tab|code	T_AE1_B|K_OW1_D
デビスカップ	davis|cup	D_EY1_V_AH0_S|K_AH1_P
コーテッドレンズ	coated|lens	K_OW1_T_AH0_D|L_EH1_N_Z
ストライクゾーン	strike|zone	S_T_R_AY1_K|Z_OW1_N
ノーマライズ	normalize	N_AO1_R_M_AH0_L_AY2_Z
イレーザー	eraser	IH0_R_EY1_S_ER0
クリッピングパス	clipping|path	K_L_IH1_P_IH0_NG|P_AE1_TH
ノワール	noir	N_OY1_R
イコールフッティング	equal|footing	IY1_K_W_AH0_L|F_UH1_T_IH0_NG
ルーヴル	louvre	L_UW1_V_R_AH0
メランコリック	melancholic	M_EH2_L_AH0_N_K_AA1_L_IH0_K
クロスハッチ	cross|hatch	K_R_AO1_S|HH_AE1_CH
デリカテセン	delicatessen	D_EH2_L_IH0_K_AH0_T_EH1_S_AH0_N
サタイア	satire	S_AE1_T_AY2_ER0
アウェア	aware	AH0_W_EH1_R
フラッシャー	flasher	F_L_AE1_SH_ER0
トランスクリプション	transcription	T_R_AE2_N_S_K_R_IH1_P_SH_AH0_N
オリブ	olive	AA1_L_IH0_V
ダブルスピーク	doublespeak	D_AH1_B_AH0_L_S_P_IY2_K
キドニーパイ	kidney|pie	K_IH1_D_N_IY0|P_AY1
インビジブルリスク	invisible|risk	IH2_N_V_IH1_Z_AH0_B_AH0_L|R_IH1_S_K
コワイア	choir	K_W_AY1_ER0
ウォーターゲート	watergate	W_AO1_T_ER0_G_EY2_T
チャウダー	chowder	CH_AW1_D_ER0
バンプマップ	bump|map	B_AH1_M_P|M_AE1_P
ホーマー	homer	HH_OW1_M_ER0
ソヴィエト	soviet	S_OW1_V_IY0_AH0_T
サウンドレンジ	sound|range	S_AW1_N_D|R_EY1_N_JH
マナーモード	manner|mode	M_AE1_N_ER0|M_OW1_D
フォレスト	forest	F_AO1_R_AH0_S_T
リプロダクティブライツ	reproductive|rights	R_IY2_P_R_AH0_D_AH1_K_T_IH0_V|R_AY1_T_S
プレパラトリースクール	preparatory|school	P_R_IH0_P_EH1_R_AH0_T_AO2_R_IY0|S_K_UW1_L
エレクトロニックマネー	electronic|money	IH2_L_EH2_K_T_R_AA1_N_IH0_K|M_AH1_N_IY0
バードサンクチュアリ	bird|sanctuary	B_ER1_D|S_AE1_NG_K_CH_UW0_EH2_R_IY0
ミミクリー	mimicry	M_IH1_M_IH0_K_R_IY0
アソシエーツ	associates	AH0_S_OW1_S_IY0_AH0_T_S
オンラインディレクトリー	online|directory	AO1_N_L_AY2_N|D_ER0_EH1_K_T_ER0_IY0
チェダーチーズ	cheddar|cheese	CH_EH1_D_ER0|CH_IY1_Z
オリンピアン	olympian	OW0_L_IH1_M_P_IY0_AH0_N
レベルセット	level|set	L_EH1_V_AH0_L|S_EH1_T
ラインモード	line|mode	L_AY1_N|M_OW1_D
スクープ	scoop	S_K_UW1_P
ナーサリーテール	nursery|tale	N_ER1_S_ER0_IY0|T_EY1_L
シェルプロンプト	shell|prompt	SH_EH1_L|P_R_AA1_M_P_T
ポピュレーション	population	P_AA2_P_Y_AH0_L_EY1_SH_AH0_N
シングルルーム	single|room	S_IH1_NG_G_AH0_L|R_UW1_M
ティップス	tips	T_IH1_P_S
ウォーゲーム	war|game	W_AO1_R|G_EY1_M
アットコマンド	at|command	AE1_T|K_AH0_M_AE1_N_D
メディアリサーチ	media|research	M_IY1_D_IY0_AH0|R_IY0_S_ER1_CH
ジャガタラ	jakarta	JH_AH0_K_AA1_R_T_AH0
ナンバープレート	number|plate	N_AH1_M_B_ER0|P_L_EY1_T
キューティクル	cuticle	K_Y_UW1_T_AH0_K_AH0_L
バーストサイズ	burst|size	B_ER1_S_T|S_AY1_Z
レイプドラッグ	rape|drug	R_EY1_P|D_R_AH1_G
ガロン	gallon	G_AE1_L_AH0_N
エピック	epic	EH1_P_IH0_K
バルブ	bulb	B_AH1_L_B
カラースキャナー	colour|scanner	K_AH1_L_ER0|S_K_AE1_N_ER0
パラス	palace	P_AE1_L_AH0_S
コンファーム	confirm	K_AH0_N_F_ER1_M
イーピーロム	eprom	EH1_P_R_AH0_M
セパレーツ	separates	S_EH1_P_ER0_EY2_T_S
キャパシティプランニング	capacity|planning	K_AH0_P_AE1_S_AH0_T_IY0|P_L_AE1_N_IH0_NG
バンドリング	bundling	B_AH1_N_D_AH0_L_IH0_NG
ミシシッピ	mississippi	M_IH2_S_IH0_S_IH1_P_IY0
コーチボックス	coach|box	K_OW1_CH_IH0|B_AA1_K_S
アクリッド	acrid	AE1_K_R_IH0_D
ターミナル	terminal	T_ER1_M_IH0_N_AH0_L
コールドロード	cold|load	K_OW1_L_D|L_OW1_D
パーシャル	partial	P_AA1_R_SH_AH0_L
トロリンガー	trollinger	T_R_OW1_L_IH0_NG_ER0
フィラテリー	philately	F_IH0_L_AE1_T_AH0_L_IY0
カウンタ	counter	K_AW1_N_T_ER0
オングストローム	angstrom	AE1_NG_S_T_R_AH0_M
ハードリング	hurdling	HH_ER1_D_AH0_L_IH0_NG
ナットクラッカー	nutcracker	N_AH1_T_K_R_AE2_K_ER0
ソーシャルセキュリティー	social|security	S_OW1_SH_AH0_L|S_IH0_K_Y_UH1_R_AH0_T_IY0
チリソース	chili|sauce	CH_IH1_L_IY0|S_AO1_S
メトロセクシュアル	metrosexual	M_EH2_T_R_AH0_S_EH1_K_SH_UW2_AH0_L
モデルサイト	model|site	M_AA1_D_AH0_L|S_AY1_T
コントラクトブリッジ	contract|bridge	K_AA1_N_T_R_AE2_K_T|B_R_IH1_JH
プリントキュー	print|queue	P_R_IH1_N_T|K_Y_UW1
スローダンス	slow|dance	S_L_OW1|D_AE1_N_S
ナショナルフラッグキャリア	national|flag|carrier	N_AE1_SH_AH0_N_AH0_L|F_L_AE1_G|K_AE1_R_IY0_ER0
カメラポジション	camera|position	K_AE1_M_ER0_AH0|P_AH0_Z_IH1_SH_AH0_N
レビュー	revue	R_IH0_V_Y_UW1
キャンバス	canvas	K_AE1_N_V_AH0_S
フレンチレター	french|letter	F_R_EH1_N_CH|L_EH1_T_ER0
トルーラブ	true|love	T_R_UW1|L_AH1_V
スマッシング	smashing	S_M_AE1_SH_IH0_NG
イブ	eve	IY1_V
ポリビニルアルコール	polyvinyl|alcohol	P_AA2_L_IY0_V_AY1_N_AH0_L|AE1_L_K_AH0_HH_AA2_L
シャット	shut	SH_AH1_T
ゲームオーバー	game|over	G_EY1_M|OW1_V_ER0
セッツルメント	settlement	S_EH1_T_AH0_L_M_AH0_N_T
ガンニー	gunny	G_AH1_N_IY0
アイスパック	ice|bag	AY1_S|B_AE1_G
ストライド	stride	S_T_R_AY1_D
マージョラム	marjoram	M_AA1_R_JH_ER0_AE2_M
エアーマネジメント	air|management	EH1_R|M_AE1_N_AH0_JH_M_AH0_N_T
リバティー	liberty	L_IH1_B_ER0_T_IY2
ジアスターゼ	diastase	D_AY1_AH0_S_T_EY2_S
アルバイター	arbeiter	AA1_R_B_AY0_T_ER0
カスタード	custard	K_AH1_S_T_ER0_D
サルーン	saloon	S_AH0_L_UW1_N
データタイプ	data|type	D_EY1_T_AH0|T_AY1_P
ドアツードア	door|to|door	D_AO1_R|T_UW1|D_AO1_R
カジノゲーム	casino|game	K_AH0_S_IY1_N_OW0|G_EY1_M
エンドラン	end|run	EH1_N_D|R_AH1_N
ニアイコール	near|equal	N_IH1_R|IY1_K_W_AH0_L
クレジットライン	credit|line	K_R_EH1_D_AH0_T|L_AY1_N
トラストファンド	trust|fund	T_R_AH1_S_T|F_AH1_N_D
ストロープワッフル	syrup|waffle	S_ER1_AH0_P|W_AA1_F_AH0_L
シナプス	synapse	S_IH1_N_AE0_P_S
スクイーズ	squeeze	S_K_W_IY1_Z
キセニア	xenia	Z_IY1_N_IY0_AH0
モルト	malt	M_AO1_L_T
ラストラン	last|run	L_AE1_S_T|R_AH1_N
バーベル	barbell	B_AA1_R_B_EH2_L
モイスチャー	moisture	M_OY1_S_CH_ER0
アウトウエア	out|wear	AW1_T|W_EH1_R
ドライシェービング	dry|shaving	D_R_AY1|SH_EY1_V_IH0_NG
ダブルロール	double|role	D_AH1_B_AH0_L|R_OW1_L
ワイヤレスマイク	wireless|mike	W_AY1_R_L_IH0_S|M_AY1_K
ニュートリノ	neutrino	N_UW0_T_R_IY1_N_OW0
ウップス	oops	UW1_P_S
リファレンスガイド	reference|guide	R_EH1_F_ER0_AH0_N_S|G_AY1_D
タイムトラベラー	time|traveler	T_AY1_M|T_R_AE1_V_AH0_L_ER0
フットライト	footlights	F_UH1_T_L_AY2_T_S
インフォメーションセオリー	information|theory	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|TH_IH1_R_IY0
マザーインロー	mother|in|law	M_AH1_DH_ER0|IH0_N|L_AO1
ハーフスイング	half|swing	HH_AE1_F|S_W_IH1_NG
シグナリングメカニズム	signalling|mechanism	S_IH1_G_N_AH0_L_IH0_NG|M_EH1_K_AH0_N_IH2_Z_AH0_M
コムデックス	comdex	K_AA1_M_D_AH0_K_S
シーイー	ce	S_IY2_IY1
ニュージーランド	new|zealand	N_UW1|Z_IY1_L_AH0_N_D
レインコト	raincoat	R_EY1_N_K_OW2_T
ライフボート	lifeboat	L_AY1_F_B_OW2_T
カードスロット	card|slot	K_AA1_R_D|S_L_AA1_T
フラットリスト	flat|list	F_L_AE1_T|L_IH1_S_T
スコッチライト	scotchlite	S_K_AA1_CH_L_AY0_T
プロスチチュウト	prostitute	P_R_AA1_S_T_AH0_T_UW2_T
シグナルレッド	signal|red	S_IH1_G_N_AH0_L|R_EH1_D
ディテクション	detection	D_IH0_T_EH1_K_SH_AH0_N
ムラート	mulatto	M_AH0_L_AA1_T_OW0
サティスファクション	satisfaction	S_AE2_T_AH0_S_F_AE1_K_SH_AH0_N
ティモール	timor	T_IY0_M_AO1_R
バックル	buckle	B_AH1_K_AH0_L
セルフカラー	self|color	S_EH1_L_F|K_AH1_L_ER0
トフィー	toffee	T_AA1_F_IY0
カタパルト	catapult	K_AE1_T_AH0_P_AH2_L_T
ライトバース	light|verse	L_AY1_T|V_ER1_S
マウンテンゴリラ	mountain|gorilla	M_AW1_N_T_AH0_N|G_ER0_IH1_L_AH0
ハーフマラソン	half|marathon	HH_AE1_F|M_EH1_R_AH0_TH_AA2_N
マルディグラ	mardi|gras	M_AA1_R_D_IY0|G_R_AE1_S
クラッキング	cracking	K_R_AE1_K_IH0_NG
シェパーズパイ	shepherd's|pie	SH_EH1_P_ER0_D_Z|P_AY1
ハイティーン	high|teens	HH_AY1|T_IY1_N
メディアプロセッサ	media|processor	M_IY1_D_IY0_AH0|P_R_AA1_S_EH2_S_ER0
ネック	neck	N_EH1_K
ビターアーモンド	bitter|almond	B_IH1_T_ER0|AA1_M_AH0_N_D
コラボレート	collaborate	K_AH0_L_AE1_B_ER0_EY2_T
ノーズフルート	nose|flute	N_OW1_Z|F_L_UW1_T
ドライ	dry	D_R_AY1
ダック	dock	D_AA1_K
イェイ	yay	Y_EY1
グリズリーベア	grizzly|bear	G_R_IH1_Z_L_IY0|B_EH1_R
リスクファクター	risk|factor	R_IH1_S_K|F_AE1_K_T_ER0
ボールパーソン	ball|person	B_AO1_L|P_ER1_S_AH0_N
コレクトオンデリバリー	collect|on|delivery	K_AH0_L_EH1_K_T|AA1_N|D_IH0_L_IH1_V_ER0_IY0
システムクラッシュ	system|crash	S_IH1_S_T_AH0_M|K_R_AE1_SH
ディスプレースメント	displacement	D_IH0_S_P_L_EY1_S_M_AH0_N_T
スポーツウェア	sportswear	S_P_AO1_R_T_S_W_EH2_R
アーモンド	almond	AA1_M_AH0_N_D
コンソナント	consonant	K_AA1_N_S_AH0_N_AH0_N_T
プリマドンナ	prima|donna	P_R_IY1_M_AH0|D_AA1_N_AH0
タンカー	tanker	T_AE1_NG_K_ER0
ガッツ	guts	G_AH1_T_S
ハーモニック	harmonic	HH_AA0_R_M_AA1_N_IH0_K
プリファレンス	preference	P_R_EH1_F_ER0_AH0_N_S
リセットスイッチ	reset|switch	R_IY0_S_EH1_T|S_W_IH1_CH
モダン	modern	M_AA1_D_ER0_N
オリジナル	original	ER0_IH1_JH_AH0_N_AH0_L
チボリ	tivoli	T_IH1_V_AH0_L_IY0
エスニック	ethnic	EH1_TH_N_IH0_K
ロードミラー	road|mirror	R_OW1_D|M_IH1_R_ER0
ゼラチン	gelatin	JH_EH1_L_AH0_T_AH0_N
サイジング	sizing	S_AY1_Z_IH0_NG
カンパニーユニオン	company|union	K_AH1_M_P_AH0_N_IY2|Y_UW1_N_Y_AH0_N
カースト	caste	K_AE1_S_T
チャイナシンドローム	china|syndrome	CH_AY1_N_AH0|S_IH1_N_D_R_OW2_M
チャレンジャー	challenger	CH_AE1_L_AH0_N_JH_ER0
ロックガーデン	rock|garden	R_AA1_K|G_AA1_R_D_AH0_N
ハイキー	high|key	HH_AY1|K_IY1
ファジーコンピュータ	fuzzy|computer	F_AH1_Z_IY0|K_AH0_M_P_Y_UW1_T_ER0
アンサー	answer	AE1_N_S_ER0
カラーギャング	color|gang	K_AH1_L_ER0|G_AE1_NG
オートストップ	auto|stop	AO1_T_OW0|S_T_AA1_P
ゲームカセット	game|cassette	G_EY1_M|K_AH0_S_EH1_T
セロリルート	celery|root	S_EH1_L_ER0_IY0|R_UW1_T
フォービート	four|beat	F_AO1_R|B_IY1_T
ミドルネーム	middle|name	M_IH1_D_AH0_L|N_EY1_M
ポーラーフロント	polar|front	P_OW1_L_ER0|F_R_AH1_N_T
カーポート	carport	K_AA1_R_P_AO2_R_T
パーティキュレート	particulate	P_ER0_T_IH1_K_Y_AH0_L_AH0_T
アプリケーションフレームワーク	application|framework	AE2_P_L_AH0_K_EY1_SH_AH0_N|F_R_EY1_M_W_ER2_K
アージェンシー	urgency	ER1_JH_AH0_N_S_IY0
トゥギャザー	together	T_AH0_G_EH1_DH_ER0
リュラー	lyra	L_AY1_R_AH0
セーフモード	safe|mode	S_EY1_F|M_OW1_D
ドライアイ	dry|eye	D_R_AY1|AY1
ノーム	gnome	N_OW1_M
アクティブ	active	AE1_K_T_IH0_V
ハイレゾ	high|res	HH_AY1|R_EY1_Z
マジックミラー	magic|mirror	M_AE1_JH_IH0_K|M_IH1_R_ER0
パンティー	panty	P_AE1_N_T_IY0
ウオッチャー	watcher	W_AA1_CH_ER0
リフォーム	reform	R_AH0_F_AO1_R_M
ジャーマンシェパード	german|shepherd	JH_ER1_M_AH0_N|SH_EH1_P_ER0_D
ハーブバス	herb|bath	ER1_B|B_AE1_TH
パンパス	pampas	P_AE1_M_P_AH0_Z
ナショナリゼーション	nationalization	N_AE2_SH_AH0_N_AH0_L_AH0_Z_EY1_SH_AH0_N
インコンシステンシー	inconsistency	IH2_N_K_AH0_N_S_IH1_S_T_AH0_N_S_IY0
グラハムブレッド	graham|bread	G_R_EY1_AH0_M|B_R_EH1_D
ボタニカルアート	botanical|art	B_AH0_T_AE1_N_IH0_K_AH0_L|AA1_R_T
レスベラトロル	resveratrol	R_EH0_S_V_ER1_AH0_T_R_AO0_L
プレーンテキスト	plain|text	P_L_EY1_N|T_EH1_K_S_T
ピノネーロ	pinot|nero	P_IH1_N_AH0_T|N_IH1_R_OW0
マクシスカート	maxi|skirt	M_AE1_K_S_IY0|S_K_ER1_T
サブアドレス	sub|address	S_AH1_B|AE1_D_R_EH2_S
ジェネティックアルゴリズム	genetic|algorithm	JH_AH0_N_EH1_T_IH0_K|AE1_L_G_ER0_IH2_DH_AH0_M
ブラッドストーン	bloodstone	B_L_AH1_D_S_T_OW2_N
ジョブエントリシステム	job|entry|system	JH_AA1_B|EH1_N_T_R_IY0|S_IH1_S_T_AH0_M
フロリダバス	florida|bass	F_L_AO1_R_AH0_D_AH0|B_AE1_S
クオリア	quale	K_W_EY1_L
モル	mol	M_AO1_L
ジェンダーベリフィケーション	gender|verification	JH_EH1_N_D_ER0|V_EH2_R_AH0_F_AH0_K_EY1_SH_AH0_N
ティーンズ	teens	T_IY1_N_Z
パーフェクトボディー	perfect|body	P_ER0_F_EH1_K_T|B_AA1_D_IY0
エグゼンプト	exempt	IH0_G_Z_EH1_M_P_T
ホモジニアスコンソリデーション	homogeneous|consolidation	HH_OW2_M_AH0_JH_IY1_N_IY0_AH0_S|K_AH0_N_S_AA2_L_AH0_D_EY1_SH_AH0_N
ノーザンテレコム	northern|telecom	N_AO1_R_DH_ER0_N|T_EH1_L_AH0_K_AA0_M
アノード	anode	AE1_N_OW2_D
ロカビリー	rockabilly	R_AA1_K_AH0_B_IH2_L_IY0
フライズ	flies	F_L_AY1_Z
ラッパー	wrapper	R_AE1_P_ER0
ミニッツステーキ	minute|steak	M_IH1_N_AH0_T|S_T_EY1_K
ショットガンフォーメーション	shotgun|formation	SH_AA1_T_G_AH2_N|F_AO0_R_M_EY1_SH_AH0_N
アグリネス	ugliness	AH1_G_L_IY0_N_AH0_S
ブロッター	blotter	B_L_AA1_T_ER0
ソーシャリスト	socialist	S_OW1_SH_AH0_L_IH0_S_T
プロテクト	protect	P_R_AH0_T_EH1_K_T
